sale_id,sale_date,customer_id,product_id,rep_id,region_id,quantity,discount,total_amount,payment_mode,order_status
1,2023-02-19,162,12,6,2,7,0.05,235.14,Net Banking,Delivered
2,2022-07-22,116,38,14,5,7,0,200.41,Debit Card,Delivered
3,2022-10-13,193,46,3,1,10,0,406.5,Debit Card,Cancelled
4,2023-01-10,84,13,15,4,2,0,119.44,Net Banking,Returned
5,2023-10-17,81,39,13,5,10,0.05,174.04,Credit Card,Cancelled
6,2022-12-23,91,30,20,1,3,0.2,15.46,Net Banking,Delivered
7,2023-08-28,22,44,5,5,6,0,94.26,UPI,Delivered
8,2022-04-30,47,24,5,3,9,0.05,63.61,Net Banking,Returned
9,2022-05-22,148,25,14,2,3,0.05,36.28,Debit Card,Cancelled
10,2023-07-23,43,32,10,3,3,0,81.39,Cash,Delivered
11,2023-09-27,14,23,1,5,8,0,78.08,Cash,Delivered
12,2023-07-30,130,42,16,4,7,0.15,113.53,Cash,Returned
13,2023-12-29,114,32,6,2,2,0.1,48.83,Debit Card,Delivered
14,2022-10-27,9,18,8,2,9,0,228.06,Cash,Delivered
15,2023-08-03,191,50,16,4,9,0.1,96.23,Net Banking,Delivered
16,2022-04-27,69,50,18,1,6,0.1,64.15,Cash,Delivered
17,2023-07-14,56,28,4,5,4,0,42.2,Cash,Delivered
18,2022-09-27,90,6,15,5,2,0.2,193.92,Debit Card,Delivered
19,2023-08-26,177,23,20,4,7,0,68.32,Debit Card,Cancelled
20,2022-07-31,53,4,19,4,6,0.1,223.67,Net Banking,Delivered
21,2023-07-06,44,21,10,4,5,0.1,71.14,Net Banking,Delivered
22,2023-11-27,25,9,14,5,1,0,27.49,Debit Card,Delivered
23,2022-09-13,38,46,11,3,4,0.2,130.08,Cash,Returned
24,2022-05-26,148,41,9,2,7,0.05,72.29,Credit Card,Returned
25,2023-10-11,197,6,13,3,9,0.15,927.18,UPI,Delivered
26,2023-04-11,125,21,19,1,1,0.2,12.65,Cash,Delivered
27,2023-10-13,171,45,12,1,2,0.2,27.9,Cash,Cancelled
28,2022-08-12,110,14,16,3,5,0,294.85,UPI,Delivered
29,2023-07-15,148,9,19,2,8,0.2,175.94,Credit Card,Delivered
30,2022-02-17,26,41,15,2,1,0,10.87,Cash,Delivered
31,2023-04-13,1,28,7,5,3,0.15,26.9,Debit Card,Delivered
32,2022-10-08,24,42,12,3,5,0,95.4,Debit Card,Delivered
33,2022-02-23,102,41,10,1,4,0.05,41.31,Credit Card,Delivered
34,2022-01-02,55,31,3,3,3,0.1,109.24,Net Banking,Delivered
35,2023-11-28,114,1,1,2,6,0.2,372.62,Cash,Delivered
36,2023-12-12,34,31,3,4,4,0.05,153.75,Credit Card,Delivered
37,2022-04-16,81,24,10,5,3,0.05,21.2,Debit Card,Delivered
38,2022-03-12,136,37,1,3,10,0.15,186.49,Cash,Delivered
39,2022-12-26,185,14,5,4,7,0.1,371.51,Debit Card,Returned
40,2022-03-30,26,9,4,2,10,0.15,233.66,UPI,Returned
41,2023-03-16,81,9,8,5,5,0.15,116.83,Debit Card,Delivered
42,2023-07-21,154,39,20,2,5,0.2,73.28,UPI,Delivered
43,2022-07-30,133,39,17,1,4,0.15,62.29,UPI,Returned
44,2023-10-24,14,16,16,5,7,0,671.16,Cash,Delivered
45,2023-10-16,153,5,17,4,1,0,80.64,Debit Card,Delivered
46,2023-02-01,146,27,12,4,9,0.15,34.5,Cash,Delivered
47,2022-03-16,5,38,3,5,1,0,28.63,Credit Card,Delivered
48,2022-03-03,102,33,10,1,9,0.2,93.67,Cash,Returned
49,2023-12-20,103,6,18,5,9,0.1,981.72,UPI,Delivered
50,2022-03-27,80,6,17,5,4,0.2,387.84,Net Banking,Delivered
51,2022-12-01,101,38,3,3,5,0.15,121.68,Debit Card,Returned
52,2022-03-01,63,6,14,4,2,0.05,230.28,Net Banking,Cancelled
53,2022-02-26,80,43,6,5,2,0,26.0,Credit Card,Delivered
54,2022-06-17,128,23,17,1,9,0.2,70.27,Debit Card,Delivered
55,2023-01-16,33,48,9,4,2,0.2,22.22,UPI,Delivered
56,2023-03-16,70,34,3,3,5,0.15,228.14,Credit Card,Cancelled
